id,year,authors,title
138,1988,"Zhaoping Li, John J. Hopfield",Modeling the Olfactory Bulb - Coupled Nonlinear Oscillators
139,1988,Terence D. Sanger,An Optimality Principle for Unsupervised Learning
140,1988,David H. Ackley,Associative Learning via Inhibitory Search
141,1988,"Mitsuo Komura, Akio Tanaka",Speech Production Using A Neural Network with a Cooperative Learning Mechanism
142,1988,Gerald Tesauro,Connectionist Learning of Expert Preferences by Comparison Training
143,1988,Erich J. Smythe,Temporal Representations in a Connectionist Speech System
144,1988,"David Feld, Joe Eisenberg, Edwin Lewis",A Passive Shared Element Analog Electrical Cochlea
145,1988,Bill Baird,A Bifurcation Theory Approach to the Programming of Periodic Attractors in Network Models of Olfactory Cortex
146,1988,"Stanley C. Ahalt, F. D. Garber, I. Jouny, Ashok K. Krishnamurthy",Performance of Synthetic Neural Network Classification of Noisy Radar Signals
147,1988,"Anya Hurlbert, Tomaso Poggio",A Network for Image Segmentation Using Color
148,1988,"Richard P. Lippmann, Paul Beckman",Adaptive Neural Net Preprocessing for Signal Detection in Non-Gaussian Noise
149,1988,"Manoel Fernando Tenorio, Wei-Tsih Lee",Self Organizing Neural Networks for the Identification Problem
150,1988,"Rodney M. Goodman, John W. Miller, Padhraic Smyth",An Information Theoretic Approach to Rule-Based Connectionist Expert Systems
151,1988,"J. Lazzaro, S. Ryckebusch, M.A. Mahowald, C. A. Mead",Winner-Take-All Networks of O(N) Complexity
152,1988,"Brian Rasnow, Christopher Assad, Mark E. Nelson, James M. Bower",Simulation and Measurement of the Electric Fields Generated by Weakly Electric Fish
153,1988,"Griff L. Bilbro, Wesley E. Snyder",Range Image Restoration Using Mean Field Annealing
154,1988,"Eric B. Baum, David Haussler",What Size Net Gives Valid Generalization?
155,1988,"James R. Mann, Sheldon Gilbert",An Analog Self-Organizing Neural Network Chip
156,1988,"Stephen Jose Hanson, Lorien Y. Pratt",Comparing Biases for Minimal Network Construction with Back-Propagation
157,1988,"E. Majani, Ruth Erlanson, Yaser S. Abu-Mostafa",On the K-Winners-Take-All Network
158,1988,"Yoshihiro Mori, Kazuhiko Yokosawa",Neural Networks that Learn to Discriminate Similar Kanji Characters
159,1988,"Joshua Alspector, Bhusan Gupta, Robert B. Allen",Performance of a Stochastic Learning Microchip
160,1988,David S. Touretzky,Analyzing the Energy Landscapes of Distributed Winner-Take-All Networks
161,1988,"Martine Naillon, Jean-Bernard Theeten",Neural Approach for TV Image Compression Using a Hopfield Type Network
162,1988,Lawrence Davis,Mapping Classifier Systems Into Neural Networks
163,1988,"Herv? Bourlard, C. J. Wellekens",Links Between Markov Models and Multilayer Perceptrons
164,1988,"Trent E. Lange, Michael G. Dyer","Dynamic, Non-Local Role Bindings and Inferencing in a Localist Network for Natural Language Understanding"
165,1988,Eugene Santos Jr.,A Massively Parallel Self-Tuning Context-Free Parser
166,1988,"Paul Mueller, Jan Van der Spiegel, David Blackman, Timothy Chiu, Thomas Clare, Joseph Dao, Christopher Donham, Tzu-pu Hsieh, Marc Loinaz",A Programmable Analog Neural Computer and Simulator
167,1988,Valentino Braitenberg,Neural Architecture
168,1988,"Michael G. Paulin, Mark E. Nelson, James M. Bower",Neural Control of Sensory Acquisition: The Vestibulo-Ocular Reflex
169,1988,John G. Harris,An Analog VLSI Chip for Thin-Plate Surface Interpolation
170,1988,M. Konishi,Song Learning in Birds
171,1988,"Clay D. Spence, John C. Pearson, J. J. Gelfand, R. M. Peterson, W. E. Sullivan",Neuronal Maps for Sensory-Motor Control in the Barn Owl
172,1988,"Jack L. Meador, Clint S. Cole",A Low-Power CMOS Circuit Which Emulates Temporal Electrical Properties of Neurons
173,1988,"Kenneth Y. Goldberg, Barak A. Pearlmutter",Using Backpropagation with Temporal Windows to Learn the Dynamics of the CMU Direct-Drive Arm II
174,1988,John S. Bridle,Speech Recognition: Statistical and Neural Information Processing Approaches
175,1988,John Moody,Fast Learning in Multi-Resolution Hierarchies
177,1988,"Phillip Alvelda, A. Miguel San Martin",Neural Network Star Pattern Recognition for Spacecraft Attitude Determination and Control
178,1988,"Jun Zhang, John P. Miller",A Model for Resolution Enhancement (Hyperacuity) in Sensory Representation
179,1988,"M. R. Walker, S. Haghighi, A. Afghan, Larry A. Akers","Training a Limited-Interconnect, Synthetic Neural IC"
180,1988,"Eyal Yair, Allen Gersho",The Boltzmann Perceptron Network: A Multi-Layered Feed-Forward Network Equivalent to the Boltzmann Machine
181,1988,"Patrice Y. Simard, Mary B. Ottaway, Dana H. Ballard",Fixed Point Analysis for Recurrent Networks
182,1988,"Matthew A. Wilson, Upinder S. Bhalla, John D. Uhley, James M. Bower",GENESIS: A System for Simulating Neural Networks
183,1988,Bartlett W. Mel,Further Explorations in Visually-Guided Reaching: Making MURPHY Smarter
184,1988,Raoul Tawel,"Does the Neuron ""Learn"" like the Synapse?"
185,1988,Alex Waibel,Consonant Recognition by Modular Construction of Large Phonemic Time-Delay Neural Networks
186,1988,"Bernd-Peter Paris, Geoffrey Orsak, Mahesh Varanasi, Behnaam Aazhang",Neural Net Receivers in Multiple Access-Communications
187,1988,"Alister Hamilton, Alan F. Murray, Lionel Tarassenko",Programmable Analog Pulse-Firing Neural Networks
188,1988,"David Servan-Schreiber, Axel Cleeremans, James L. McClelland",Learning Sequential Structure in Simple Recurrent Networks
189,1988,"Allan Hartstein, R. H. Koch",A Self-Learning Neural Network
190,1989,Pentti Kanerva,Contour-Map Encoding of Shape for Early Vision
191,1989,"O. Farotimi, Amir Dembo, Thomas Kailath",Neural Network Weight Matrix Synthesis Using Optimal Control Techniques
192,1989,"William Y. Huang, Richard P. Lippmann",HMM Speech Recognition with Neural Net Discrimination
193,1989,"David J. C. MacKay, Kenneth D. Miller",Analysis of Linsker's Simulations of Hebbian Rules
194,1989,"A. G. Barto, R. S. Sutton, C. J. C. H. Watkins",Sequential Decision Problems and Neural Networks
195,1989,John S. Bridle,Training Stochastic Model Recognition Algorithms as Networks can Lead to Maximum Mutual Information Estimation of Parameters
196,1989,"Maurice Lee, James M. Bower",A Computer Modeling Approach to Understanding the Inferior Olive and Its Relationships to the Cerebellar Cortex in Rats
197,1989,Yves Chauvin,Dynamic Behavior of Constained Back-Propagation Networks
198,1989,Jack D. Cowan,Neural Networks: The Early Days
199,1989,"Michael I. Jordan, Robert A. Jacobs",Learning to Control an Unstable System with Forward Modeling
200,1989,Bill Baird,Associative Memory in a Simple Model of Oscillating Cortex
201,1989,"Ajay N. Jain, Alex Waibel",Incremental Parsing by Modular Recurrent Connectionist Networks
202,1989,Tony Bell,"Learning in Higher-Order ""Artificial Dendritic Trees"
203,1989,"Les E. Atlas, Ronald A. Cole, Jerome T. Connor, Mohamed A. El-Sharkawi, Robert J. Marks II, Yeshwant K. Muthusamy, Etienne Barnard",Performance Comparisons Between Backpropagation Networks and Classification Trees on Three Real-World Applications
204,1989,"Jim Donnett, Tim Smithers",Neuronal Group Selection Theory: A Grounding in Robotics
205,1989,Tal Grossman,The CHIR Algorithm for Feed Forward Networks with Binary Weights
